frame,X_fixed,Y_fixed,VelY_fixed,input,alive,X_px,Y_px,onGround,CamY_px,TgtCamY_px,mode,gravFlipped,shipCeilSlopeHit,shipCeilTileHit,shipCeilSpike,shipFloorSlopeHit,shipFloorTileHit,shipFloorSpike,CamY_fixed,Y_lowB,CamY_lowB
0,0x2C4,0x35100,0x0,0,1,10,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
1,0x588,0x35100,0x0,0,1,13,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
2,0x84C,0x35100,0x0,0,1,16,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
3,0xB10,0x35100,0x0,0,1,19,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
4,0xDD4,0x35100,0x0,0,1,21,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
5,0x1098,0x35100,0x0,0,1,24,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
6,0x135C,0x35100,0x0,0,1,27,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
7,0x1620,0x35100,0x0,0,1,30,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
8,0x18E4,0x35100,0x0,0,1,32,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
9,0x1BA8,0x35100,0x0,0,1,35,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
10,0x1E6C,0x35100,0x0,0,1,38,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
11,0x2130,0x35100,0x0,0,1,41,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
12,0x23F4,0x35100,0x0,0,1,43,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
13,0x26B8,0x35100,0x0,0,1,46,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
14,0x297C,0x35100,0x0,0,1,49,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
15,0x2C40,0x35100,0x0,0,1,52,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
16,0x2F04,0x35100,0x0,0,1,55,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
17,0x31C8,0x35100,0x0,0,1,57,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
18,0x348C,0x35100,0x0,0,1,60,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
19,0x3750,0x35100,0x0,0,1,63,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
20,0x3A14,0x35100,0x0,0,1,66,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
21,0x3CD8,0x35100,0x0,0,1,68,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
22,0x3F9C,0x35100,0x0,0,1,71,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
23,0x4260,0x35100,0x0,0,1,74,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
24,0x4524,0x35100,0x0,0,1,77,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
25,0x47E8,0x35100,0x0,0,1,79,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
26,0x4AAC,0x35100,0x0,0,1,82,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
27,0x4D70,0x35100,0x0,0,1,85,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
28,0x5034,0x35100,0x0,0,1,88,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
29,0x52F8,0x35100,0x0,0,1,90,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
30,0x55BC,0x35100,0x0,0,1,93,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
31,0x5880,0x35100,0x0,0,1,96,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
32,0x5B44,0x35100,0x0,0,1,99,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
33,0x5E08,0x35100,0x0,0,1,102,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
34,0x60CC,0x35100,0x0,0,1,104,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
35,0x6390,0x35100,0x0,0,1,107,857,1,671,672,0,0,0,0,0,0,0,0,0x29F00,0x00,0x00
