frame,X_fixed,Y_fixed,VelY_fixed,VelX_fixed,X_px,Y_px,gravity,mini,gamemode,onGround
1,0x0000,0x0000,0x0000,0x0000,0,0,0,0,0,1
2,0x0000,0x0000,0x0000,0x0000,0,0,0,0,0,1
3,0x0000,0x0000,0x0000,0x0000,0,0,0,0,0,1
4,0x0000,0x0000,0x0000,0x0000,0,0,0,0,0,1
5,0x0000,0x0000,0x0000,0x0000,0,0,0,0,0,1
6,0x0000,0x0000,0x0000,0x0000,0,0,0,0,0,1
7,0x0000,0x0000,0x0000,0x0000,0,0,0,0,0,1
8,0x0000,0x0000,0x0000,0x0000,0,0,0,0,0,1
9,0x0000,0x0000,0x0000,0x0000,0,0,0,0,0,1
10,0x0000,0x0000,0x0000,0x0000,0,0,0,0,0,1
11,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
12,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
13,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
14,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
15,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
16,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
17,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
18,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
19,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
20,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
21,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
22,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
23,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
24,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
25,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
26,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
27,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
28,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
29,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
30,0x0000,0xB000,0x0000,0x0000,0,176,0,0,0,1
