sim |  NES_y NES_vy a_next gm grav | PF_y PF_vy onG mode grv mini | dy dvy
 395 |   309    589 0 0 0 |  311    508 0 0 1 0 |  -2   +81
 396 |   311    482 0 0 0 |  313    401 0 0 1 0 |  -2   +81
 397 |   313    375 0 0 0 |  314    294 0 0 1 0 |  -1   +81
 398 |   314    268 0 0 0 |  315    187 0 0 1 0 |  -1   +81
 399 |   314    161 0 0 0 |  315     80 0 0 1 0 |  -1   +81
 400 |   314     54 0 0 0 |  314    -27 0 0 1 0 |  +0   +81
 401 |   313    -53 0 0 0 |  314   -134 0 0 1 0 |  -1   +81
 402 |   313   -160 0 0 0 |  313   -241 0 0 1 0 |  +0   +81
 403 |   312   -267 0 0 0 |  312   -348 0 0 1 0 |  +0   +81
 404 |   310   -374 0 0 0 |  310   -455 0 0 1 0 |  +0   +81
 405 |   308   -481 0 0 0 |  308   -562 0 0 1 0 |  +0   +81
 406 |   306   -588 0 0 0 |  305   -669 0 0 1 0 |  +1   +81
 407 |   303   -695 0 0 0 |  302   -776 0 0 1 0 |  +1   +81
 408 |   300   -802 0 0 0 |  299   -883 0 0 1 0 |  +1   +81
 409 |   297   -909 0 0 0 |  295   -990 0 0 1 0 |  +2   +81
 410 |   293  -1016 0 0 0 |  290  -1097 0 0 1 0 |  +3   +81
 411 |   288  -1123 0 0 0 |  286  -1204 0 0 1 0 |  +2   +81
 412 |   283  -1230 0 0 0 |  281  -1311 0 0 1 0 |  +2   +81
 413 |   278  -1337 0 0 0 |  275  -1418 0 0 1 0 |  +3   +81
 414 |   273  -1444 0 0 0 |  269  -1525 0 0 1 0 |  +4   +81
 415 |   267  -1551 0 0 0 |  263  -1632 0 0 1 0 |  +4   +81
 416 |   261  -1444 0 0 0 |  257  -1525 0 0 1 0 |  +4   +81
 417 |   258   -615 0 0 0 |  254   -656 0 0 0 0 |  +4   +41
 418 |   256   -508 0 0 0 |  252   -549 0 0 0 0 |  +4   +41
 419 |   255   -401 0 0 0 |  250   -442 0 0 0 0 |  +5   +41
 420 |   254   -294 0 0 0 |  249   -335 0 0 0 0 |  +5   +41
 421 |   253   -187 0 0 0 |  248   -228 0 0 0 0 |  +5   +41
 422 |   253    -80 0 0 0 |  248   -121 0 0 0 0 |  +5   +41
 423 |   253     27 0 0 0 |  248    -14 0 0 0 0 |  +5   +41
 424 |   253    134 0 0 0 |  248     93 0 0 0 0 |  +5   +41
 425 |   254    241 0 0 0 |  249    200 0 0 0 0 |  +5   +41
 426 |   256    348 0 0 0 |  250    307 0 0 0 0 |  +6   +41
 427 |   257    455 0 0 0 |  252    414 0 0 0 0 |  +5   +41
 428 |   260    562 0 0 0 |  254    521 0 0 0 0 |  +6   +41
 429 |   262    669 0 0 0 |  256    628 0 0 0 0 |  +6   +41
 430 |   265      0 0 0 0 |  259    735 0 0 0 0 |  +6  -735
 431 |   265      0 0 0 0 |  262    842 0 0 0 0 |  +3  -842
 432 |   265      0 0 0 0 |  265      0 1 0 0 0 |  +0    +0
 433 |   265      0 0 0 0 |  265      0 1 0 0 0 |  +0    +0
 434 |   265      0 0 0 0 |  265      0 1 0 0 0 |  +0    +0
 435 |   265      0 0 0 0 |  265      0 1 0 0 0 |  +0    +0
 436 |   265      0 0 0 0 |  265      0 1 0 0 0 |  +0    +0
 437 |   265      0 0 0 0 |  265      0 1 0 0 0 |  +0    +0
 438 |   265      0 0 0 0 |  265      0 1 0 0 0 |  +0    +0
 439 |   265      0 0 0 0 |  265      0 1 0 0 0 |  +0    +0
