sim |  NES_y NES_vy | PF_y PF_vy onG mode mini | dy dvy  CHG
   1 |  -520      0 |  361  -1770 0 0 0 | -881 +1770  CHG (was None)
   2 |   361  -1770 |  354  -1663 0 0 0 |  +7  -107  CHG (was 1770)
  33 |   354   1547 |  359   1440 0 0 0 |  -5  +107  CHG (was -107)
  34 |   359   1440 |  365   1547 0 0 0 |  -6  -107  CHG (was 107)
  35 |   365   1547 |  371   1440 0 0 0 |  -6  +107  CHG (was -107)
  36 |   371   1440 |  377      0 1 0 0 |  -6 +1440  CHG (was 107)
  37 |   377      0 |  377      0 1 0 0 |  +0    +0  CHG (was 1440)
  64 |   377      0 |  369  -1877 0 0 0 |  +8 +1877  CHG (was 0)
  65 |   369  -1877 |  362  -1770 0 0 0 |  +7  -107  CHG (was 1877)
  86 |   312    370 |  313      0 1 0 0 |  -1  +370  CHG (was -107)
  87 |   313      0 |  313      0 1 0 0 |  +0    +0  CHG (was 370)
 120 |   313      0 |  313  -1424 0 0 0 |  +0 +1424  CHG (was 0)
 121 |   313  -1424 |  307  -1317 0 0 0 |  +6  -107  CHG (was 1424)
 149 |   326   1572 |  329      0 1 0 0 |  -3 +1572  CHG (was -107)
 150 |   329      0 |  329      0 1 0 0 |  +0    +0  CHG (was 1572)
 157 |   329      0 |  329    107 0 0 0 |  +0  -107  CHG (was 0)
 171 |   372   1498 |  377      0 1 0 0 |  -5 +1498  CHG (was -107)
 172 |   377      0 |  377      0 1 0 0 |  +0    +0  CHG (was 1498)
 215 |   377      0 |  377  -1424 0 0 0 |  +0 +1424  CHG (was 0)
 216 |   377  -1424 |  371  -1317 0 0 0 |  +6  -107  CHG (was 1424)
 241 |   373   1251 |  377      0 1 0 0 |  -4 +1251  CHG (was -107)
 242 |   377      0 |  377      0 1 0 0 |  +0    +0  CHG (was 1251)
 251 |   377      0 |  377   -571 1 0 0 |  +0  +571  CHG (was 0)
 252 |   377   -571 |  375   -571 1 0 0 |  +2    +0  CHG (was 571)
 258 |   364   -571 |  362   -464 0 0 0 |  +2  -107  CHG (was 0)
 265 |   360    178 |  361      0 1 0 0 |  -1  +178  CHG (was -107)
 266 |   361      0 |  361      0 1 0 0 |  +0    +0  CHG (was 178)
 282 |   361      0 |  361  -1424 0 0 0 |  +0 +1424  CHG (was 0)
 283 |   361  -1424 |  355  -1317 0 0 0 |  +6  -107  CHG (was 1424)
 310 |   368   1465 |  363  -1317 0 0 0 |  +5 +2782  CHG (was -107)
 311 |   363  -1317 |  358  -1210 0 0 0 |  +5  -107  CHG (was 2782)
 323 |   334    -33 |  334   -124 0 0 0 |  +0   +91  CHG (was -107)
 324 |   334   -124 |  333   -231 0 0 0 |  +1  +107  CHG (was 91)
 338 |   283  -1622 |  277  -1515 0 0 0 |  +6  -107  CHG (was 107)
 339 |   277  -1515 |  271  -1622 0 0 0 |  +6  +107  CHG (was -107)
 340 |   271  -1622 |  265  -1515 0 0 0 |  +6  -107  CHG (was 107)
 341 |   265  -1515 |  258  -1622 0 0 0 |  +7  +107  CHG (was -107)
 342 |   258  -1622 |  252  -1515 0 0 0 |  +6  -107  CHG (was 107)
 343 |   252  -1515 |  246  -1622 0 0 0 |  +6  +107  CHG (was -107)
 344 |   246  -1622 |  240  -1515 0 0 0 |  +6  -107  CHG (was 107)
 345 |   240  -1515 |  234  -1622 0 0 0 |  +6  +107  CHG (was -107)
 346 |   234  -1622 |  228  -1515 0 0 0 |  +6  -107  CHG (was 107)
 347 |   228  -1515 |  222  -1622 0 0 0 |  +6  +107  CHG (was -107)
 348 |   222  -1622 |  216  -1515 0 0 0 |  +6  -107  CHG (was 107)
 349 |   216  -1515 |  209  -1622 0 0 0 |  +7  +107  CHG (was -107)
 350 |   209  -1622 |  203  -1515 0 0 0 |  +6  -107  CHG (was 107)
 351 |   203  -1515 |  199      0 1 0 0 |  +4 -1515  CHG (was -107)
 352 |   199      0 |  206   1877 0 0 0 |  -7 -1877  CHG (was -1515)
 353 |   206   1877 |  213   1770 0 0 0 |  -7  +107  CHG (was -1877)
 377 |   256   -691 |  255    571 1 0 0 |  +1 -1262  CHG (was 107)
 378 |   256    571 |  257    571 1 0 0 |  -1    +0  CHG (was -1262)
 380 |   260    571 |  260    464 0 0 0 |  +0  +107  CHG (was 0)
 381 |   261    464 |  264    571 1 0 0 |  -3  -107  CHG (was 107)
 382 |   265    571 |  266    571 1 0 0 |  -1    +0  CHG (was -107)
 385 |   271    571 |  272   1578 0 0 0 |  -1 -1007  CHG (was 0)
 386 |   273   1552 |  277   1471 0 0 0 |  -4   +81  CHG (was -1007)
 417 |   258   -615 |  254   -656 0 0 0 |  +4   +41  CHG (was 81)
 430 |   265      0 |  259    735 0 0 0 |  +6  -735  CHG (was 41)
 431 |   265      0 |  262    842 0 0 0 |  +3  -842  CHG (was -735)
 432 |   265      0 |  265      0 1 0 0 |  +0    +0  CHG (was -842)
 484 |   265      0 |  265    107 0 0 0 |  +0  -107  CHG (was 0)
 498 |   308   1498 |  313      0 1 0 0 |  -5 +1498  CHG (was -107)
 499 |   313      0 |  313      0 1 0 0 |  +0    +0  CHG (was 1498)
 505 |   313      0 |  313  -1424 0 0 0 |  +0 +1424  CHG (was 0)
 506 |   313  -1424 |  307  -1317 0 0 0 |  +6  -107  CHG (was 1424)
 531 |   309   1251 |  313      0 1 0 0 |  -4 +1251  CHG (was -107)
 532 |   313      0 |  313      0 1 0 0 |  +0    +0  CHG (was 1251)
 538 |   313      0 |  313    107 0 0 0 |  +0  -107  CHG (was 0)
 546 |   328    856 |  329      0 1 0 0 |  -1  +856  CHG (was -107)
 547 |   329      0 |  329      0 1 0 0 |  +0    +0  CHG (was 856)
 601 |   329      0 |  329  -1424 0 0 0 |  +0 +1424  CHG (was 0)
 602 |   329  -1424 |  323  -1317 0 0 0 |  +6  -107  CHG (was 1424)
 624 |   312    930 |  313      0 1 0 0 |  -1  +930  CHG (was -107)
 625 |   313      0 |  313      0 1 0 0 |  +0    +0  CHG (was 930)
 659 |   313      0 |  313    107 0 0 0 |  +0  -107  CHG (was 0)
 674 |   364   1605 |  369   1498 0 0 0 |  -5  +107  CHG (was -107)
 675 |   369   1498 |  375   1605 0 0 0 |  -6  -107  CHG (was 107)
