sim |  NES_y NES_vy a gm grav | PF_y PF_vy onG mode grv mini | dy dvy
3160 |   278   -220 1 3  0 |  277   -720 0 3  0 1 |  +1  +500
3161 |   277   -720 0 3  0 |  274   -670 0 3  0 1 |  +3   -50
3162 |   274   -670 1 3  0 |  272   -720 0 3  0 1 |  +2   +50
3163 |   272   -720 0 3  0 |  269   -670 0 3  0 1 |  +3   -50
3164 |   269   -670 0 3  0 |  267   -620 0 3  0 1 |  +2   -50
3165 |   267   -620 0 3  0 |  264   -570 0 3  0 1 |  +3   -50
3166 |   265   -570 1 3  0 |  262   -720 0 3  0 1 |  +3  +150
3167 |   263   -720 0 3  0 |  260   -670 0 3  0 1 |  +3   -50
3168 |   260   -670 0 3  0 |  257   -620 0 3  0 1 |  +3   -50
3169 |   258   -620 0 3  0 |  255   -570 0 3  0 1 |  +3   -50
3170 |   255   -570 0 3  0 |  253   -520 0 3  0 1 |  +2   -50
3171 |   253   -520 0 3  0 |  251   -470 0 3  0 1 |  +2   -50
3172 |   251   -470 1 3  0 |  246  -1142 0 6  0 1 |  +5  +672
3173 |   244  -1762 1 6  0 |  240  -1142 0 6  0 1 |  +4  -620
3174 |   238  -1142 0 6  0 |  248   2130 0 6  0 1 | -10 -3272
3175 |   245   2130 0 6  0 |  255   2130 0 6  0 1 | -10    +0
3176 |   253   2130 0 6  0 |  262   2130 0 6  0 1 |  -9    +0
3177 |   260   1142 1 6  0 |  253  -2130 0 6  0 1 |  +7 +3272
3178 |   249  -1142 1 6  0 |  244  -2130 0 6  0 1 |  +5  +988
3179 |   238  -1142 0 6  0 |  251   2130 0 6  0 1 | -13 -3272
3180 |   245   1142 0 6  0 |  258   2130 0 6  0 1 | -13  -988
3181 |   248   1142 0 6  0 |  266   2130 0 6  0 1 | -18  -988
3182 |   255   1142 0 6  0 |  273   2130 0 6  0 1 | -18  -988
3183 |   266   1142 1 6  0 |  264  -2130 0 6  0 1 |  +2 +3272
3184 |   260  -1142 0 6  0 |  271   2130 0 6  0 1 | -11 -3272
3185 |   267   1142 0 6  0 |  278   2130 0 6  0 1 | -11  -988
3186 |   275   1142 1 6  0 |  269  -2130 0 6  0 1 |  +6 +3272
3187 |   266  -1142 1 6  0 |  260  -2130 0 6  0 1 |  +6  +988
3188 |   262  -1142 1 6  0 |  250  -2130 0 6  0 1 | +12  +988
3189 |   248  -1142 0 6  0 |  258   2130 0 6  0 1 | -10 -3272
3190 |   257   1142 0 6  0 |  265   2130 0 6  0 1 |  -8  -988
3191 |   262   1142 1 6  0 |  256  -2130 0 6  0 1 |  +6 +3272
3192 |   253  -1142 0 6  0 |  263   2130 0 6  0 1 | -10 -3272
3193 |   262   1142 0 6  0 |  270   2130 0 6  0 1 |  -8  -988
3194 |   270   1142 0 6  0 |  279   2130 0 6  0 1 |  -9  -988
3195 |   279   1142 1 6  0 |  270  -2130 0 6  0 1 |  +9 +3272
3196 |   270  -1142 0 6  0 |  279   2130 0 6  0 1 |  -9 -3272
3197 |   279   1142 1 6  0 |  270  -2130 0 6  0 1 |  +9 +3272
3198 |   275  -1142 0 6  0 |  279   2130 0 6  0 1 |  -4 -3272
3199 |   284   1142 1 6  0 |  270  -2130 0 6  0 1 | +14 +3272
