sim |  NES_x NES_dx | PF_x PF_dx | dxdiff(NES-PF) gm
3140 |  7890  +0 | 7893  +0 |  +0 gm=3
3141 |  7893  +3 | 7896  +3 |  +0 gm=3
3142 |  7896  +3 | 7900  +4 |  -1 gm=3
3143 |  7900  +4 | 7903  +3 |  +1 gm=3
3144 |  7903  +3 | 7907  +4 |  -1 gm=3
3145 |  7907  +4 | 7910  +3 |  +1 gm=3
3146 |  7910  +3 | 7914  +4 |  -1 gm=3
3147 |  7914  +4 | 7917  +3 |  +1 gm=3
3148 |  7917  +3 | 7921  +4 |  -1 gm=3
3149 |  7921  +4 | 7924  +3 |  +1 gm=3
3150 |  7924  +3 | 7927  +3 |  +0 gm=3
3151 |  7927  +3 | 7931  +4 |  -1 gm=3
3152 |  7931  +4 | 7934  +3 |  +1 gm=3
3153 |  7934  +3 | 7938  +4 |  -1 gm=3
3154 |  7938  +4 | 7941  +3 |  +1 gm=3
3155 |  7941  +3 | 7945  +4 |  -1 gm=3
3156 |  7945  +4 | 7948  +3 |  +1 gm=3
3157 |  7948  +3 | 7952  +4 |  -1 gm=3
3158 |  7952  +4 | 7955  +3 |  +1 gm=3
3159 |  7955  +3 | 7958  +3 |  +0 gm=3
3160 |  7958  +3 | 7962  +4 |  -1 gm=3
3161 |  7962  +4 | 7965  +3 |  +1 gm=3
3162 |  7965  +3 | 7969  +4 |  -1 gm=3
3163 |  7969  +4 | 7972  +3 |  +1 gm=3
3164 |  7972  +3 | 7976  +4 |  -1 gm=3
3165 |  7976  +4 | 7979  +3 |  +1 gm=3
3166 |  7979  +3 | 7982  +3 |  +0 gm=3
3167 |  7982  +3 | 7986  +4 |  -1 gm=3
3168 |  7986  +4 | 7989  +3 |  +1 gm=3
3169 |  7989  +3 | 7993  +4 |  -1 gm=3
3170 |  7993  +4 | 7996  +3 |  +1 gm=3
3171 |  7996  +3 | 8000  +4 |  -1 gm=3
3172 |  8000  +4 | 8002  +2 |  +2 gm=3
3173 |  8002  +2 | 8004  +2 |  +0 gm=6
3174 |  8006  +4 | 8008  +4 |  +0 gm=6
3175 |  8010  +4 | 8012  +4 |  +0 gm=6
3176 |  8012  +2 | 8017  +5 |  -3 gm=6
3177 |  8017  +5 | 8021  +4 |  +1 gm=6
3178 |  8021  +4 | 8025  +4 |  +0 gm=6
3179 |  8026  +5 | 8029  +4 |  +1 gm=6
3180 |  8030  +4 | 8033  +4 |  +0 gm=6
3181 |  8033  +3 | 8037  +4 |  -1 gm=6
3182 |  8037  +4 | 8042  +5 |  -1 gm=6
3183 |  8044  +7 | 8046  +4 |  +3 gm=6
3184 |  8046  +2 | 8050  +4 |  -2 gm=6
3185 |  8050  +4 | 8054  +4 |  +0 gm=6
3186 |  8055  +5 | 8058  +4 |  +1 gm=6
3187 |  8059  +4 | 8062  +4 |  +0 gm=6
3188 |  8062  +3 | 8067  +5 |  -2 gm=6
3189 |  8068  +6 | 8071  +4 |  +2 gm=6
3190 |  8073  +5 | 8075  +4 |  +1 gm=6
3191 |  8075  +2 | 8079  +4 |  -2 gm=6
3192 |  8079  +4 | 8083  +4 |  +0 gm=6
3193 |  8084  +5 | 8087  +4 |  +1 gm=6
3194 |  8088  +4 | 8092  +5 |  -1 gm=6
3195 |  8093  +5 | 8096  +4 |  +1 gm=6
3196 |  8097  +4 | 8100  +4 |  +0 gm=6
3197 |  8102  +5 | 8104  +4 |  +1 gm=6
3198 |  8104  +2 | 8108  +4 |  -2 gm=6
3199 |  8108  +4 | 8112  +4 |  +0 gm=6
