[PF f=0] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=1] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=2] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=3] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=4] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=5] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=6] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=7] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=8] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=9] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=10] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=11] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=12] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=13] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=14] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=15] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=16] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=17] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=18] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=19] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=20] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=21] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=22] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=23] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=24] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=25] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=26] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=27] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=28] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=29] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=30] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=31] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=32] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=33] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=34] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=35] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=36] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=37] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=38] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=39] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
