Loading C:\Editor Test\famidash\LEVELS\LEVEL DATA\lvlset_HUGE\clubstep.tmx...
Map: 906x40  tiles=36240  sprites=36240
Config: C:\Users\kando\Documents\Famidash Editor\clubstep.tmx.cfg (46 offsets, 0 anchors)
Start: (0, 577)  speed=1  maxFall=0x7  bias=0.50
[BFS] Starting exhaustive BFS exploration (frontier cap=30000)

[BFS] f=0 front=2 dedup=2 deaths=0 Y=[577..577] mode=0 grav=N XΓëê0px pct=0% ms/f=64.0
[BFS] f=1 front=3 dedup=3 deaths=0 Y=[571..577] mode=0 grav=N XΓëê2px pct=0% ms/f=32.6
[BFS] f=2 front=4 dedup=4 deaths=0 Y=[567..577] mode=0 grav=N XΓëê5px pct=0% ms/f=21.9
[BFS] f=3 front=5 dedup=5 deaths=0 Y=[562..577] mode=0 grav=N XΓëê8px pct=0% ms/f=16.4
[BFS] f=4 front=6 dedup=6 deaths=0 Y=[558..577] mode=0 grav=N XΓëê11px pct=0% ms/f=13.2
[BFS] f=5 front=7 dedup=7 deaths=0 Y=[555..577] mode=0 grav=N XΓëê13px pct=0% ms/f=11.0
[BFS] f=6 front=8 dedup=8 deaths=0 Y=[552..577] mode=0 grav=N XΓëê16px pct=0% ms/f=9.4
[BFS] f=7 front=9 dedup=9 deaths=0 Y=[549..577] mode=0 grav=N XΓëê19px pct=0% ms/f=8.2
[BFS] f=8 front=10 dedup=10 deaths=0 Y=[547..577] mode=0 grav=N XΓëê22px pct=0% ms/f=7.3
[BFS] f=9 front=11 dedup=11 deaths=0 Y=[545..577] mode=0 grav=N XΓëê24px pct=0% ms/f=6.6
[BFS] f=10 front=12 dedup=12 deaths=0 Y=[544..577] mode=0 grav=N XΓëê27px pct=0% ms/f=6.0
[BFS] f=11 front=13 dedup=13 deaths=0 Y=[543..577] mode=0 grav=N XΓëê30px pct=0% ms/f=5.5
[BFS] f=12 front=14 dedup=14 deaths=0 Y=[542..577] mode=0 grav=N XΓëê33px pct=0% ms/f=5.1
[BFS] f=13 front=14 dedup=14 deaths=0 Y=[542..577] mode=0 grav=N XΓëê35px pct=0% ms/f=4.7
[BFS] f=14 front=15 dedup=15 deaths=0 Y=[542..577] mode=0 grav=N XΓëê38px pct=0% ms/f=4.4
[BFS] f=15 front=15 dedup=15 deaths=0 Y=[542..577] mode=0 grav=N XΓëê41px pct=0% ms/f=4.1
[BFS] f=16 front=16 dedup=16 deaths=0 Y=[542..577] mode=0 grav=N XΓëê44px pct=0% ms/f=3.9
[BFS] f=17 front=16 dedup=16 deaths=0 Y=[542..577] mode=0 grav=N XΓëê47px pct=0% ms/f=3.7
[BFS] f=18 front=17 dedup=17 deaths=0 Y=[542..577] mode=0 grav=N XΓëê49px pct=0% ms/f=3.5
[BFS] f=19 front=17 dedup=17 deaths=0 Y=[542..577] mode=0 grav=N XΓëê52px pct=0% ms/f=3.3
[BFS] f=20 front=18 dedup=18 deaths=0 Y=[542..577] mode=0 grav=N XΓëê55px pct=0% ms/f=3.2
[BFS] f=21 front=18 dedup=18 deaths=0 Y=[542..577] mode=0 grav=N XΓëê58px pct=0% ms/f=3.0
[BFS] f=22 front=19 dedup=19 deaths=0 Y=[542..577] mode=0 grav=N XΓëê60px pct=0% ms/f=2.9
[BFS] f=23 front=19 dedup=19 deaths=0 Y=[542..577] mode=0 grav=N XΓëê63px pct=0% ms/f=2.8
[BFS] f=24 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê66px pct=0% ms/f=2.7
[BFS] f=25 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê69px pct=0% ms/f=2.6
[BFS] f=26 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê71px pct=0% ms/f=2.5
[BFS] f=27 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê74px pct=0% ms/f=2.5
[BFS] f=28 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê77px pct=0% ms/f=2.4
[BFS] f=29 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê80px pct=0% ms/f=2.3
[BFS] f=30 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê82px pct=0% ms/f=2.2
[BFS] f=31 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê85px pct=0% ms/f=2.2
[BFS] f=32 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê88px pct=0% ms/f=2.1
[BFS] f=33 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê91px pct=0% ms/f=2.0
[BFS] f=34 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê94px pct=0% ms/f=2.0
[BFS] f=35 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê96px pct=0% ms/f=1.9
[BFS] f=36 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê99px pct=0% ms/f=1.9
[BFS] f=37 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê102px pct=0% ms/f=1.8
[BFS] f=38 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê105px pct=0% ms/f=1.8
[BFS] f=39 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê107px pct=0% ms/f=1.8
[BFS] f=40 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê110px pct=0% ms/f=1.7
[BFS] f=41 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê113px pct=0% ms/f=1.7
