[PF f=0] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=157] [PHYSICS] Mode=6, gravity=00, mini=0, table_idx=0
[PF f=160] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=217] [PHYSICS] Mode=0, gravity=00, mini=1, table_idx=4
[PF f=220] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=848] [PHYSICS] Mode=6, gravity=00, mini=0, table_idx=0
[PF f=1078] [PHYSICS] Mode=1, gravity=00, mini=0, table_idx=0
[PF f=1080] [PHYSICS] Mode=1, gravity=00, mini=1, table_idx=4
[PF f=1280] [PHYSICS] Mode=2, gravity=00, mini=1, table_idx=4
[PF f=1287] [PHYSICS] Mode=2, gravity=00, mini=0, table_idx=0
[PF f=1489] [PHYSICS] Mode=2, gravity=FF, mini=1, table_idx=4
[PF f=1493] [PHYSICS] Mode=3, gravity=FF, mini=1, table_idx=4
[PF f=1709] [PHYSICS] Mode=0, gravity=00, mini=1, table_idx=4
[PF f=1712] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=1921] [PHYSICS] Mode=4, gravity=FF, mini=0, table_idx=0
[PF f=2128] [PHYSICS] Mode=2, gravity=00, mini=0, table_idx=0
[PF f=2131] [PHYSICS] Mode=2, gravity=00, mini=1, table_idx=4
[PF f=2562] [PHYSICS] Mode=0, gravity=00, mini=1, table_idx=4
[PF f=2565] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=2777] [PHYSICS] Mode=0, gravity=00, mini=1, table_idx=4
[PF f=2988] [PHYSICS] Mode=4, gravity=00, mini=1, table_idx=4
[PF f=2991] [PHYSICS] Mode=4, gravity=00, mini=0, table_idx=0
[PF f=3409] [PHYSICS] Mode=1, gravity=00, mini=0, table_idx=0
[PF f=4273] [PHYSICS] Mode=6, gravity=00, mini=0, table_idx=0
[PF f=4485] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=4695] [PHYSICS] Mode=1, gravity=00, mini=1, table_idx=4
[PF f=4698] [PHYSICS] Mode=1, gravity=00, mini=0, table_idx=0
[PF f=4858] [PHYSICS] Mode=1, gravity=00, mini=1, table_idx=4
[PF f=5136] [PHYSICS] Mode=1, gravity=00, mini=0, table_idx=0
[PF f=5332] [PHYSICS] Mode=3, gravity=00, mini=0, table_idx=0
[PF f=5544] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
