script started
[sf2_crash_trace v2] armed
frame 600 minSP=FFFF traceIdx=125
frame 1200 minSP=FFFF traceIdx=34
frame 1800 minSP=FFFF traceIdx=34
frame 2400 minSP=FFFF traceIdx=34
frame 3000 minSP=FFFF traceIdx=34
frame 3600 minSP=FFFF traceIdx=34
frame 4200 minSP=FFFF traceIdx=34
frame 4800 minSP=FFFF traceIdx=34
frame 5400 minSP=FFFF traceIdx=34
frame 6000 minSP=FFFF traceIdx=34
frame 6600 minSP=FFFF traceIdx=34
frame 7200 minSP=FFFF traceIdx=34
frame 7800 minSP=FFFF traceIdx=34
frame 8400 minSP=FFFF traceIdx=34
frame 9000 minSP=FFFF traceIdx=34
frame 9600 minSP=FFFF traceIdx=34
frame 10200 minSP=FFFF traceIdx=34
frame 10800 minSP=FFFF traceIdx=34
frame 11400 minSP=FFFF traceIdx=34
frame 12000 minSP=FFFF traceIdx=34
frame 12600 minSP=FFFF traceIdx=34
frame 13200 minSP=FFFF traceIdx=34
frame 13800 minSP=FFFF traceIdx=34
frame 14400 minSP=FFFF traceIdx=34
frame 15000 minSP=FFFF traceIdx=34
frame 15600 minSP=FFFF traceIdx=34
frame 16200 minSP=FFFF traceIdx=34
frame 16800 minSP=FFFF traceIdx=34
frame 17400 minSP=FFFF traceIdx=34
frame 18000 minSP=FFFF traceIdx=34
frame 18600 minSP=FFFF traceIdx=34
frame 19200 minSP=FFFF traceIdx=34
frame 19800 minSP=FFFF traceIdx=34
frame 20400 minSP=FFFF traceIdx=34
frame 21000 minSP=FFFF traceIdx=34
frame 21600 minSP=FFFF traceIdx=34
frame 22200 minSP=FFFF traceIdx=34
frame 22800 minSP=FFFF traceIdx=34
frame 23400 minSP=FFFF traceIdx=34
frame 24000 minSP=FFFF traceIdx=34
frame 24600 minSP=FFFF traceIdx=34
frame 25200 minSP=FFFF traceIdx=34
frame 25800 minSP=FFFF traceIdx=34
