frame,worldX,worldY,X_screen,Y_screen,X_fixed,Y_fixed,VelX_fixed,VelY_fixed,scrollX,scrollY_linear,scrollY_raw,scrollY_subpx,gravity,mini,gamemode,cubedata,onGround,jblocked
1,212,905,80,178,0x50A8,0xB200,708,0,124,719,0x02EF,0,0,0,0,0x00,0,0
2,215,905,80,178,0x506C,0xB200,708,0,127,719,0x02EF,0,0,0,0,0x00,0,0
3,218,905,80,178,0x5030,0xB200,708,0,130,719,0x02EF,0,0,0,0,0x00,0,0
4,220,905,80,178,0x50F4,0xB200,708,0,132,719,0x02EF,0,0,0,0,0x00,0,0
5,223,905,80,178,0x50B8,0xB200,708,0,135,719,0x02EF,0,0,0,0,0x00,0,0
6,226,905,80,178,0x507C,0xB200,708,0,138,719,0x02EF,0,0,0,0,0x00,0,0
7,229,905,80,178,0x5040,0xB200,708,0,141,719,0x02EF,0,0,0,0,0x00,0,0
8,232,905,80,178,0x5004,0xB200,708,0,144,719,0x02EF,0,0,0,0,0x00,0,0
9,234,905,80,178,0x50C8,0xB200,708,0,146,719,0x02EF,0,0,0,0,0x00,0,0
10,237,905,80,178,0x508C,0xB200,708,0,149,719,0x02EF,0,0,0,0,0x00,0,0
11,240,905,80,178,0x5050,0xB200,708,0,152,719,0x02EF,0,0,0,0,0x00,0,0
12,243,905,80,178,0x5014,0xB200,708,0,155,719,0x02EF,0,0,0,0,0x00,0,0
13,245,905,80,178,0x50D8,0xB200,708,0,157,719,0x02EF,0,0,0,0,0x00,0,0
14,248,905,80,178,0x509C,0xB200,708,0,160,719,0x02EF,0,0,0,0,0x00,0,0
15,251,905,80,178,0x5060,0xB200,708,0,163,719,0x02EF,0,0,0,0,0x00,0,0
16,254,905,80,178,0x5024,0xB200,708,0,166,719,0x02EF,0,0,0,0,0x00,0,0
17,256,905,80,178,0x50E8,0xB200,708,0,168,719,0x02EF,0,0,0,0,0x00,0,0
18,259,905,80,178,0x50AC,0xB200,708,0,171,719,0x02EF,0,0,0,0,0x00,0,0
19,262,905,80,178,0x5070,0xB200,708,0,174,719,0x02EF,0,0,0,0,0x00,0,0
20,265,905,80,178,0x5034,0xB200,708,0,177,719,0x02EF,0,0,0,0,0x00,0,0
21,267,905,80,178,0x50F8,0xB200,708,0,179,719,0x02EF,0,0,0,0,0x00,0,0
22,270,905,80,178,0x50BC,0xB200,708,0,182,719,0x02EF,0,0,0,0,0x00,0,0
23,273,905,80,178,0x5080,0xB200,708,0,185,719,0x02EF,0,0,0,0,0x00,0,0
