Metadata file: C:\Editor Test\famidash\LEVELS\metadata\lvlset_HUGE_metadata.json5 (level: everyend)
  Searched 26 levels in official_levels, 'everyend' not found
  Found level 'everyend' in community_levels at index 113: speed=0 maxFall=7 gameMode=0 spawnYHi= spawnYLo=
Metadata: startingSpeed=0 (uiIndex=1) for 'everyend'
Metadata: maxFallSpeed=0x7 for 'everyend'
Metadata: startingGameMode=0 for 'everyend'
Loading famidash/LEVELS/LEVEL DATA/lvlset_HUGE/everyend.tmx...
Map: 4573x57  tiles=260661  sprites=260661
Config: C:\Users\kando\Documents\Famidash Editor\everyend.tmx.cfg (24 offsets, 0 anchors)
Start: (0, 849)  speed=1  maxFall=0x7  bias=0.50  mode=0
TAS replay: 5095 frames, preroll=73
Jump frames: 143
tasFrame,gameFrame,x,y,velY,jump,onGround,event
4338,4411,12201,721,0x0000,0,1,
4339,4412,12204,721,0x0000,0,1,
4340,4413,12207,721,0x0000,0,1,
4341,4414,12210,721,0x0000,0,1,
4342,4415,12213,721,0x0000,0,1,
4343,4416,12215,721,0x0000,0,1,
4344,4417,12218,721,0x0000,0,1,
4345,4418,12221,721,0x0000,0,1,
4346,4419,12224,721,0xFA70,1,0,
4347,4420,12226,715,0xFADB,0,0,
4348,4421,12229,711,0xFB46,0,0,
4349,4422,12232,706,0xFBB1,0,0,
4350,4423,12235,702,0xFC1C,0,0,
4351,4424,12237,699,0xFC87,0,0,
4352,4425,12240,696,0xFCF2,0,0,
4353,4426,12243,693,0xFD5D,0,0,
4354,4427,12246,691,0xFDC8,0,0,
4355,4428,12248,689,0xFE33,0,0,
4356,4429,12251,688,0xFE9E,0,0,
4357,4430,12254,687,0xFF09,0,0,
4358,4431,12257,686,0xFF74,0,0,
4359,4432,12260,686,0xFFDF,0,0,
4360,4433,12262,687,0x004A,0,0,
4361,4434,12265,687,0x00B5,0,0,
4362,4435,12268,688,0x0120,0,0,
4363,4436,12271,690,0x018B,0,0,
4364,4437,12273,692,0x01F6,0,0,
4365,4438,12276,694,0x0261,0,0,
4366,4439,12279,697,0x02CC,0,0,
4367,4440,12282,700,0x0337,0,0,
4368,4441,12284,704,0x03A2,0,0,
4369,4442,12287,708,0x040D,0,0,
4370,4443,12290,712,0x0478,0,0,
4371,4444,12293,717,0x04E3,0,0,
4372,4445,12295,723,0x054E,0,0,
4373,4446,12298,728,0x05B9,0,0,
4374,4447,12301,734,0x0624,0,0,
4375,4448,12304,741,0x068F,0,0,
4376,4449,12307,748,0x06FA,0,0,
4377,4450,12309,755,0x0765,0,0,
4378,4451,12312,762,0x06FA,0,0,
4379,4452,12315,769,0x0000,0,1,
4380,4453,12318,769,0x0000,0,1,
4381,4454,12320,769,0x0000,0,1,
4382,4455,12323,769,0x0000,0,1,
4383,4456,12326,769,0x0000,0,1,
4384,4457,12329,769,0x0000,0,1,
4385,4458,12331,769,0x0000,0,1,
4386,4459,12334,769,0x0000,0,1,
4387,4460,12337,769,0x0000,0,0,
4388,4461,12340,769,0x006B,0,0,
4389,4462,12342,770,0x00D6,0,0,
4390,4463,12345,771,0x0141,0,0,
4391,4464,12348,773,0x01AC,0,0,
4392,4465,12351,775,0x0217,0,0,
4393,4466,12354,777,0x0282,0,0,
4394,4467,12356,780,0x02ED,0,0,
4395,4468,12359,784,0x0358,0,0,
4396,4469,12362,787,0x03C3,0,0,
4397,4470,12365,791,0x042E,0,0,
4398,4471,12367,796,0x0499,0,0,
4399,4472,12370,801,0x0504,0,0,
4400,4473,12373,801,0x0000,0,1,
4401,4474,12376,801,0x0000,0,1,
4402,4475,12378,801,0x0000,0,1,
4403,4476,12381,801,0x0000,0,1,
4404,4477,12384,801,0x0000,0,1,
4405,4478,12387,801,0x0000,0,1,
4406,4479,12390,801,0x0000,0,1,
4407,4480,12392,801,0x0000,0,1,
4408,4481,12395,801,0xFA70,1,0,
4409,4482,12398,795,0xFADB,0,0,
4410,4483,12401,791,0xFB46,0,0,
4411,4484,12403,786,0xFBB1,0,0,
4412,4485,12406,782,0xFC1C,0,0,
4413,4486,12409,779,0xFC87,0,0,
4414,4487,12412,776,0xFCF2,0,0,
4415,4488,12414,773,0xFD5D,0,0,
4416,4489,12417,771,0xFDC8,0,0,
4417,4490,12420,769,0xFE33,0,0,
4418,4491,12423,768,0xFE9E,0,0,
4419,4492,12425,767,0xFF09,0,0,
4420,4493,12428,766,0xFF74,0,0,
4421,4494,12431,766,0xFFDF,0,0,
4422,4495,12434,767,0x004A,0,0,
4423,4496,12437,767,0x00B5,0,0,
4424,4497,12439,768,0x0120,0,0,
4425,4498,12442,770,0x018B,0,0,
4426,4499,12445,769,0xFA70,1,0,
4427,4500,12448,763,0xFADB,0,0,
4428,4501,12450,759,0xFB46,0,0,
4429,4502,12453,754,0xFBB1,0,0,
4430,4503,12456,750,0xFC1C,0,0,
4431,4504,12459,747,0xFC87,0,0,
4432,4505,12461,744,0xFCF2,0,0,
4433,4506,12464,741,0xFD5D,0,0,
4434,4507,12467,739,0xFDC8,0,0,
4435,4508,12470,737,0xFE33,0,0,
4436,4509,12472,736,0xFE9E,0,0,
4437,4510,12475,735,0xFF09,0,0,
4438,4511,12478,734,0xFF74,0,0,
4439,4512,12481,734,0xFFDF,0,0,
4440,4513,12484,735,0x004A,0,0,
4441,4514,12486,735,0x00B5,0,0,
4442,4515,12489,736,0x0120,0,0,
4443,4516,12492,738,0x018B,0,0,
4444,4517,12495,740,0x01F6,0,0,
4445,4518,12497,742,0x0261,0,0,
4446,4519,12500,745,0x02CC,0,0,
4447,4520,12503,748,0x0337,0,0,
4448,4521,12506,752,0x03A2,0,0,
4449,4522,12508,756,0x040D,0,0,
4450,4523,12511,760,0x0478,0,0,
4451,4524,12514,765,0x04E3,0,0,
4452,4525,12517,771,0x054E,0,0,
4453,4526,12519,776,0x05B9,0,0,
4454,4527,12522,782,0x0624,0,0,
4455,4528,12525,785,0xFA70,1,0,
4456,4529,12528,779,0xFADB,0,0,
4457,4530,12531,775,0xFB46,0,0,
4458,4531,12533,770,0xFBB1,0,0,
4459,4532,12536,766,0xFC1C,0,0,
4460,4533,12539,763,0xFC87,0,0,
4461,4534,12542,760,0xFCF2,0,0,
4462,4535,12544,757,0xFD5D,0,0,
4463,4536,12547,755,0xFDC8,0,0,
4464,4537,12550,753,0xFE33,0,0,
4465,4538,12553,752,0xFE9E,0,0,
4466,4539,12555,751,0xFF09,0,0,
4467,4540,12558,750,0xFF74,0,0,
4468,4541,12561,750,0xFFDF,0,0,
4469,4542,12564,751,0x004A,0,0,
4470,4543,12567,751,0x00B5,0,0,
4471,4544,12569,752,0x0120,0,0,
4472,4545,12572,754,0x018B,0,0,
4473,4546,12575,756,0x01F6,0,0,
4474,4547,12578,758,0x0261,0,0,
4475,4548,12580,753,0x0000,0,1,
4476,4549,12583,753,0x0000,0,1,
4477,4550,12586,753,0x0000,0,1,
4478,4551,12589,753,0x0000,0,1,
4479,4552,12591,753,0x0000,0,1,
4480,4553,12594,753,0x0000,0,1,
4481,4554,12597,753,0x0000,0,1,
4482,4555,12600,753,0x0000,0,1,
4483,4556,12602,753,0x0000,0,1,
4484,4557,12605,753,0x0000,0,1,
4485,4558,12608,753,0xFA70,1,0,
4486,4559,12611,747,0xFADB,0,0,
4487,4560,12614,743,0xFB46,0,0,
4488,4561,12616,738,0xFBB1,0,0,
4489,4562,12619,734,0xFC1C,0,0,
4490,4563,12622,731,0xFC87,0,0,
4491,4564,12625,728,0xFCF2,0,0,
4492,4565,12627,725,0xFD5D,0,0,
4493,4566,12630,723,0xFDC8,0,0,
4494,4567,12633,721,0xFE33,0,0,
4495,4568,12636,720,0xFE9E,0,0,
4496,4569,12638,719,0xFF09,0,0,
4497,4570,12641,718,0xFF74,0,0,
4498,4571,12644,718,0xFFDF,0,0,
4499,4572,12647,719,0x004A,0,0,
4500,4573,12649,719,0x00B5,0,0,
4501,4574,12652,720,0x0120,0,0,
4502,4575,12655,721,0x0000,0,1,
4503,4576,12658,721,0xFA70,1,0,
4504,4577,12661,715,0xFADB,0,0,
4505,4578,12663,711,0xFB46,0,0,
4506,4579,12666,706,0xFBB1,0,0,
4507,4580,12669,702,0xFC1C,0,0,
4508,4581,12672,699,0xFC87,0,0,
4509,4582,12674,696,0xFCF2,0,0,
4510,4583,12677,693,0xFD5D,0,0,
4511,4584,12680,691,0xFDC8,0,0,
4512,4585,12683,689,0xFE33,0,0,
4513,4586,12685,688,0xFE9E,0,0,
4514,4587,12688,687,0xFF09,0,0,
4515,4588,12691,686,0xFF74,0,0,
4516,4589,12694,686,0xFFDF,0,0,
4517,4590,12696,687,0x004A,0,0,
4518,4591,12699,687,0x00B5,0,0,
4519,4592,12702,688,0x0120,0,0,
4520,4593,12705,690,0x018B,0,0,
4521,4594,12708,692,0x01F6,0,0,
4522,4595,12710,694,0x0261,0,0,
4523,4596,12713,697,0x02CC,0,0,
4524,4597,12716,700,0x0337,0,0,
4525,4598,12719,704,0x03A2,0,0,
4526,4599,12721,708,0x040D,0,0,
4527,4600,12724,712,0x0478,0,0,
4528,4601,12727,717,0x04E3,0,0,
4529,4602,12730,721,0x0000,0,1,
4530,4603,12732,721,0x0000,0,1,
4531,4604,12735,721,0x0000,0,0,
4532,4605,12738,721,0x0000,0,0,
4533,4606,12741,721,0x006B,0,0,
4534,4607,12744,722,0x00D6,0,0,
4535,4608,12746,723,0x0141,0,0,
4536,4609,12749,725,0x01AC,0,0,
4537,4610,12752,727,0x0217,0,0,
4538,4611,12755,729,0x0282,0,0,
4539,4612,12757,732,0x02ED,0,0,
4540,4613,12760,736,0x0358,0,0,
4541,4614,12763,737,0xFA70,1,0,
4542,4615,12766,731,0xFADB,0,0,
4543,4616,12768,727,0xFB46,0,0,
4544,4617,12771,722,0xFBB1,0,0,
4545,4618,12774,718,0xFC1C,0,0,
4546,4619,12777,715,0xFC87,0,0,
4547,4620,12779,712,0xFCF2,0,0,
4548,4621,12782,709,0xFD5D,0,0,
4549,4622,12785,707,0xFDC8,0,0,
4550,4623,12788,705,0xFE33,0,0,
4551,4624,12791,704,0xFE9E,0,0,
4552,4625,12793,703,0xFF09,0,0,
4553,4626,12796,702,0xFF74,0,0,
4554,4627,12799,702,0xFFDF,0,0,
4555,4628,12802,703,0x004A,0,0,
4556,4629,12804,703,0x00B5,0,0,
4557,4630,12807,704,0x0120,0,0,
4558,4631,12810,706,0x018B,0,0,
4559,4632,12813,708,0x01F6,0,0,
4560,4633,12815,710,0x0261,0,0,
4561,4634,12818,713,0x02CC,0,0,
4562,4635,12821,716,0x0337,0,0,
4563,4636,12824,720,0x03A2,0,0,
4564,4637,12826,724,0x040D,0,0,
4565,4638,12829,728,0x0478,0,0,
4566,4639,12832,733,0x04E3,0,0,
4567,4640,12835,737,0x0000,0,1,
4568,4641,12838,737,0x0000,0,1,
4569,4642,12840,737,0x0000,0,1,
4570,4643,12843,737,0x0000,0,1,
4571,4644,12846,737,0x0000,0,1,
4572,4645,12849,737,0x0000,0,1,
4573,4646,12851,737,0x0000,0,1,
4574,4647,12854,737,0x0000,0,1,
4575,4648,12857,737,0x0000,0,1,
4576,4649,12860,737,0x0000,0,1,
4577,4650,12862,737,0x0000,0,1,
4578,4651,12865,737,0x0000,0,1,
4579,4652,12868,737,0x0000,0,1,
4580,4653,12871,737,0x0000,0,1,
4581,4654,12873,737,0x0000,0,1,
4582,4655,12876,737,0x0000,0,1,
4583,4656,12879,737,0x0000,0,0,
4584,4657,12882,737,0x0000,0,1,
4585,4658,12885,737,0x0000,0,1,
4586,4659,12887,737,0x0000,0,1,
4587,4660,12890,737,0x0000,0,1,
4588,4661,12893,737,0x0000,0,1,
4589,4662,12896,737,0x0000,0,1,
4590,4663,12898,737,0x0000,0,1,
4644,4717,13045,716,0x05DA,0,0,DEAD:dt7
