Layer1 rows: 27, Layer2 rows: 27

=== MAIN TILE LAYER (id=1) cols 724-740 ===
  Row 21, Col 736: ID=29 (0x001D)
  Row 21, Col 737: ID=17 (0x0011)
  Row 22, Col 736: ID=29 (0x001D)
  Row 22, Col 737: ID=17 (0x0011)
  Row 22, Col 739: ID=17 (0x0011)
  Row 22, Col 740: ID=17 (0x0011)
  Row 23, Col 736: ID=29 (0x001D)
  Row 23, Col 737: ID=17 (0x0011)
  Row 23, Col 739: ID=28 (0x001C)
  Row 23, Col 740: ID=28 (0x001C)
  Row 24, Col 728: ID=233 (0x00E9)
  Row 24, Col 729: ID=234 (0x00EA)
  Row 24, Col 733: ID=17 (0x0011)
  Row 25, Col 733: ID=46 (0x002E)
  Row 26, Col 724: ID=18 (0x0012)
  Row 26, Col 725: ID=17 (0x0011)
  Row 26, Col 726: ID=13 (0x000D)
  Row 26, Col 727: ID=13 (0x000D)
  Row 26, Col 728: ID=13 (0x000D)
  Row 26, Col 729: ID=25 (0x0019)
  Row 26, Col 730: ID=13 (0x000D)
  Row 26, Col 731: ID=13 (0x000D)
  Row 26, Col 732: ID=13 (0x000D)
  Row 26, Col 733: ID=46 (0x002E)
  Row 26, Col 734: ID=18 (0x0012)
  Row 26, Col 739: ID=18 (0x0012)
  Row 26, Col 740: ID=18 (0x0012)

=== SPRITE LAYER (SP) cols 724-740 ===
  Row 20, Col 737: ID=302 (0x012E)
  Row 21, Col 739: ID=302 (0x012E)
  Row 21, Col 740: ID=302 (0x012E)
  Row 23, Col 733: ID=300 (0x012C)
  Row 24, Col 728: ID=268 (0x010C)
  Row 26, Col 724: ID=402 (0x0192)
  Row 26, Col 729: ID=303 (0x012F)
  Row 26, Col 738: ID=403 (0x0193)
