col,row,gid,tilesetFirstGid,spriteIdx,shiftedCol
12,482,350,257,93,2
8,555,350,257,93,0
15,899,311,257,54,5
0,1045,311,257,54,0
13,1099,424,257,167,3
0,1100,407,257,150,0
3,1100,391,257,134,0
7,1100,424,257,167,0
10,1100,407,257,150,0
13,1100,391,257,134,3
0,1101,424,257,167,0
3,1101,407,257,150,0
6,1101,391,257,134,0
10,1101,424,257,167,0
13,1101,407,257,150,3
0,1102,391,257,134,0
3,1102,424,257,167,0
6,1102,407,257,150,0
9,1102,391,257,134,0
11,1102,424,257,167,1
14,1102,407,257,150,4
1,1103,391,257,134,0
3,1103,424,257,167,0
6,1103,407,257,150,0
9,1103,391,257,134,0
12,1103,424,257,167,2
15,1103,407,257,150,5
2,1104,391,257,134,0
5,1104,424,257,167,0
8,1104,407,257,150,0
11,1104,391,257,134,1
14,1104,424,257,167,4
1,1105,407,257,150,0
4,1105,391,257,134,0
7,1105,424,257,167,0
10,1105,407,257,150,0
13,1105,391,257,134,3
0,1106,424,257,167,0
3,1106,407,257,150,0
6,1106,391,257,134,0
9,1106,424,257,167,0
12,1106,407,257,150,2
15,1106,391,257,134,5
2,1107,424,257,167,0
5,1107,407,257,150,0
8,1107,391,257,134,0
11,1107,424,257,167,1
14,1107,407,257,150,4
1,1108,391,257,134,0
3,1108,424,257,167,0
6,1108,407,257,150,0
9,1108,391,257,134,0
13,1108,424,257,167,3
0,1109,407,257,150,0
3,1109,391,257,134,0
5,1109,424,257,167,0
8,1109,407,257,150,0
11,1109,391,257,134,1
14,1109,424,257,167,4
1,1110,407,257,150,0
4,1110,391,257,134,0
7,1110,424,257,167,0
10,1110,407,257,150,0
13,1110,391,257,134,3
1,1111,424,257,167,0
4,1111,407,257,150,0
7,1111,391,257,134,0
10,1111,424,257,167,0
13,1111,407,257,150,3
0,1112,391,257,134,0
2,1112,424,257,167,0
5,1112,407,257,150,0
8,1112,391,257,134,0
10,1112,424,257,167,0
13,1112,407,257,150,3
0,1113,391,257,134,0
3,1113,424,257,167,0
6,1113,407,257,150,0
9,1113,391,257,134,0
12,1113,424,257,167,2
15,1113,407,257,150,5
2,1114,391,257,134,0
5,1114,424,257,167,0
8,1114,407,257,150,0
11,1114,391,257,134,1
14,1114,424,257,167,4
1,1115,407,257,150,0
4,1115,391,257,134,0
7,1115,424,257,167,0
